词语, 词性种类, 词义数, 词义序号, 情感分类, 强度, 极性, 辅助情感分类, 强度, 极性, , , 
脏乱, adj, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
糟报, adj, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
早衰, adj, 1.0, 1.0, NE, 5.0, 2.0, , , , , , 
责备, verb, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
贼眼, noun, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
战祸, noun, 1.0, 1.0, ND, 5.0, 2.0, NC, 5.0, 2.0, , , 
招灾, adj, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
折辱, noun, 1.0, 1.0, NE, 5.0, 2.0, NN, 5.0, 2.0, , , 
中山狼, noun, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
清峻, adj, 1.0, 1.0, PH, 5.0, 0.0, , , , , , 
清莹, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
轻倩, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
晴丽, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
求索, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
热潮, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
仁政, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
荣名, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
柔腻, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
瑞雪, noun, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
擅名, noun, 1.0, 1.0, PD, 7.0, 1.0, , , , , , 
神采, adj, 1.0, 1.0, PA, 5.0, 1.0, PH, 1.0, 1.0, , , 
省便, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
盛开, verb, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
盛誉, noun, 1.0, 1.0, PH, 5.0, 1.0, PA, 1.0, 1.0, , , 
诗仙, noun, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
爽脆, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
素洁, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
诪张, verb, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
株连, verb, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
坠毁, verb, 1.0, 1.0, NB, 5.0, 2.0, , , , , , 
滋生, verb, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
自恃, verb, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
走后门, verb, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
阻力, noun, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
罪状, noun, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
做戏, verb, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
甜头, noun, 1.0, 1.0, PB, 5.0, 1.0, , , , , , 
头名, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
婉妙, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
温淑, adj, 1.0, 1.0, PB, 1.0, 1.0, , , , , , 
稳厚, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
沃壤, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
无上, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
喜人, noun, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
先贤, noun, 1.0, 1.0, PD, 5.0, 1.0, , , , , , 
鲜妍, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
相称, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
骁骑, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
新巧, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
新意, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
信奉, adj, 1.0, 1.0, PG, 5.0, 1.0, , , , , , 
急智, noun, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
技艺, noun, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
雄劲, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
雄肆, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
秀俊, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
煦煦, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
勋绩, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
雅淡, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
雅兴, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
严整, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
泱泱, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
怡悦, adj, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
义诊, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
英发, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
英伟, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
莹润, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
勇健, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
优厚, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
幽雅, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
有识, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
友邻, adj, 1.0, 1.0, PH, 5.0, 1.0, PB, 3.0, 1.0, , , 
玉人, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
元勋, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
佳句, noun, 1.0, 1.0, PH, 7.0, 1.0, PD, 1.0, 1.0, , , 
佳趣, noun, 1.0, 1.0, PH, 5.0, 1.0, PB, 3.0, 1.0, , , 
兼爱, noun, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
坚守, verb, 1.0, 1.0, PH, 7.0, 1.0, PD, 5.0, 1.0, , , 
简雅, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
荐举, verb, 1.0, 1.0, PG, 7.0, 1.0, PD, 3.0, 1.0, , , 
见称, verb, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
见闻, noun, 1.0, 1.0, PH, 1.0, 1.0, , , , , , 
奖旗, noun, 1.0, 1.0, PH, 3.0, 1.0, PA, 1.0, 1.0, , , 
奖许, verb, 1.0, 1.0, PH, 7.0, 1.0, PG, 3.0, 1.0, , , 
姣丽, adj, 1.0, 1.0, PH, 5.0, 1.0, PB, 3.0, 1.0, , , 
娇丽, adj, 1.0, 1.0, PH, 5.0, 1.0, PA, 1.0, 1.0, , , 
骄子, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
解惑, verb, 1.0, 1.0, PH, 3.0, 1.0, PA, 1.0, 1.0, , , 
津要, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
金嗓子, noun, 1.0, 1.0, PH, 3.0, 1.0, PB, 3.0, 1.0, , , 
匀净, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
赞词, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
真纯, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
箴言, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
珍玩, noun, 1.0, 1.0, PB, 7.0, 1.0, , , , , , 
正理, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
指导, verb, 1.0, 1.0, PD, 3.0, 1.0, , , , , , 
至理, noun, 1.0, 1.0, PG, 7.0, 1.0, PH, 7.0, 1.0, , , 
致敬, verb, 1.0, 1.0, PD, 5.0, 1.0, , , , , , 
智多星, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
忠魂, noun, 1.0, 1.0, PD, 7.0, 1.0, PH, 7.0, 1.0, , , 
主力军, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
准绳, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
卓特, adj, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
进益, verb, 1.0, 1.0, PA, 5.0, 1.0, PH, 3.0, 1.0, , , 
奏凯, verb, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
尊服, verb, 1.0, 1.0, PD, 3.0, 1.0, PG, 7.0, 1.0, , , 
尽瘁, verb, 1.0, 1.0, PH, 5.0, 1.0, PD, 5.0, 1.0, , , 
精白, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
精洁, adj, 1.0, 1.0, PH, 7.0, 1.0, PB, 3.0, 1.0, , , 
精妙, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
精髓, adj, 1.0, 1.0, PH, 7.0, 1.0, PB, 3.0, 1.0, , , 
精要, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
晶洁, adj, 1.0, 1.0, PH, 5.0, 1.0, PB, 5.0, 1.0, , , 
景观, noun, 1.0, 1.0, PH, 5.0, 1.0, PB, 1.0, 1.0, , , 
敬信, verb, 1.0, 1.0, PD, 7.0, 1.0, PG, 5.0, 1.0, , , 
救亡, verb, 1.0, 1.0, PH, 1.0, 1.0, , , , , , 
据实, verb, 1.0, 1.0, PG, 1.0, 1.0, , , , , , 
眷怀, verb, 1.0, 1.0, PB, 5.0, 1.0, PF, 3.0, 1.0, , , 
哀鸿遍野, idiom, 1.0, 1.0, NB, 7.0, 2.0, NC, 1.0, 2.0, , , 
肮里肮脏, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
冰炭不相容, idiom, 1.0, 1.0, ND, 9.0, 0.0, , , , , , 
英姿飒爽, idiom, 1.0, 1.0, PH, 9.0, 1.0, PB, 3.0, 1.0, , , 
有礼, adj, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
易如反掌, adj, 1.0, 1.0, PH, 9.0, 1.0, PG, 3.0, 1.0, , , 
为人正直, idiom, 1.0, 1.0, PH, 9.0, 1.0, PG, 3.0, 1.0, , , 
心地纯良, idiom, 1.0, 1.0, PH, 9.0, 1.0, PB, 5.0, 1.0, , , 
不成话, adj, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
昭然若揭, idiom, 1.0, 1.0, NN, 9.0, 2.0, ND, 5.0, 2.0, , , 
有口无心, idiom, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
有眼力, prep, 1.0, 1.0, PH, 9.0, 1.0, PB, 3.0, 1.0, , , 
不干不净, idiom, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
异彩纷呈, idiom, 1.0, 1.0, PH, 9.0, 1.0, PA, 7.0, 1.0, , , 
学富五车, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
心灵美, prep, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
香馥馥, idiom, 1.0, 1.0, PH, 9.0, 1.0, PA, 9.0, 1.0, , , 
味道好, prep, 1.0, 1.0, PH, 9.0, 1.0, PA, 7.0, 1.0, , , 
手脚不干净, idiom, 1.0, 1.0, NN, 9.0, 2.0, ND, 9.0, 2.0, , , 
索然寡味, idiom, 1.0, 1.0, NN, 9.0, 2.0, NK, 5.0, 2.0, , , 
死板板, adj, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
松垮垮, adj, 1.0, 1.0, NN, 9.0, 2.0, ND, 5.0, 2.0, , , 
危在旦夕, idiom, 1.0, 1.0, NC, 9.0, 2.0, , , , , , 
无纪律, adj, 1.0, 1.0, NN, 9.0, 2.0, ND, 7.0, 2.0, , , 
无实质, adj, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
险峭, verb, 1.0, 1.0, NN, 1.0, 2.0, NC, 9.0, 2.0, , , 
不明不白, idiom, 1.0, 1.0, NE, 5.0, 2.0, NN, 3.0, 2.0, , , 
不清不白, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
不透明, adj, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
不雅, adj, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
不足为外人道, idiom, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
有勇气, adj, 1.0, 1.0, PH, 9.0, 1.0, PB, 1.0, 1.0, , , 
玄妙, adj, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
长长短短, idiom, 1.0, 1.0, NN, 3.0, 0.0, , , , , , 
罪恶多端, idiom, 1.0, 1.0, ND, 9.0, 2.0, , , , , , 
